,country,year,sex,suicides_no,population
0,Albania,1987,female,25,1316900
1,Albania,1987,male,48,1392700
2,Albania,1988,female,22,1343600
3,Albania,1988,male,41,1420700
4,Albania,1989,female,15,1363300
5,Albania,1989,male,53,1439800
6,Albania,1992,female,14,1423200
7,Albania,1992,male,33,1399300
8,Albania,1993,female,27,1427400
9,Albania,1993,male,46,1379900
10,Albania,1994,female,15,1445100
11,Albania,1994,male,35,1404200
12,Albania,1995,female,34,1473800
13,Albania,1995,male,54,1429600
14,Albania,1996,female,39,1496000
15,Albania,1996,male,50,1444200
16,Albania,1997,female,52,1528900
17,Albania,1997,male,118,1448400
18,Albania,1998,female,58,1537300
19,Albania,1998,male,96,1475400
20,Albania,1999,female,48,1543300
21,Albania,1999,male,91,1486400
22,Albania,2000,female,16,1372400
23,Albania,2000,male,38,1423900
24,Albania,2001,female,35,1408730
25,Albania,2001,male,84,1390619
26,Albania,2002,female,42,1418737
27,Albania,2002,male,91,1400102
28,Albania,2003,female,51,1431674
29,Albania,2003,male,73,1412255
30,Albania,2004,female,57,1447609
31,Albania,2004,male,89,1427382
32,Albania,2005,female,0,1399928
33,Albania,2005,male,0,1383392
34,Albania,2006,female,0,1397509
35,Albania,2006,male,0,1382667
36,Albania,2007,female,47,1391852
37,Albania,2007,male,77,1378492
38,Albania,2008,female,61,1384673
39,Albania,2008,male,99,1372386
40,Albania,2009,female,0,1378059
41,Albania,2009,male,0,1367676
42,Albania,2010,female,35,1371628
43,Albania,2010,male,61,1364397
44,Argentina,1985,female,538,13690900
45,Argentina,1985,male,1450,13399900
46,Argentina,1986,female,641,13768700
47,Argentina,1986,male,1643,13475700
48,Argentina,1987,female,686,13947900
49,Argentina,1987,male,1600,13651500
50,Argentina,1988,female,665,14324000
51,Argentina,1988,male,1689,13984000
52,Argentina,1989,female,606,14529000
53,Argentina,1989,male,1641,14173000
54,Argentina,1990,female,595,14732000
55,Argentina,1990,male,1545,14359100
56,Argentina,1991,female,499,15133000
57,Argentina,1991,male,1452,14490000
58,Argentina,1992,female,504,15361300
59,Argentina,1992,male,1680,14684100
60,Argentina,1993,female,493,15584000
61,Argentina,1993,male,1737,14893500
62,Argentina,1994,female,510,15806800
63,Argentina,1994,male,1731,15104400
64,Argentina,1995,female,504,16029500
65,Argentina,1995,male,1700,15315900
66,Argentina,1996,female,532,16252800
67,Argentina,1996,male,1697,15527900
68,Argentina,1997,female,539,16568735
69,Argentina,1997,male,1645,15765046
70,Argentina,1998,female,526,16789196
71,Argentina,1998,male,1821,15968063
72,Argentina,1999,female,493,17006298
73,Argentina,1999,male,1930,16168564
74,Argentina,2000,female,550,17219345
75,Argentina,2000,male,2224,16366188
76,Argentina,2001,female,676,17438298
77,Argentina,2001,male,2456,16572648
78,Argentina,2002,female,703,17642501
79,Argentina,2002,male,2459,16765006
80,Argentina,2003,female,684,17837389
81,Argentina,2003,male,2605,16948518
82,Argentina,2004,female,654,18031399
83,Argentina,2004,male,2467,17131546
84,Argentina,2005,female,664,18230599
85,Argentina,2005,male,2394,17320018
86,Argentina,2006,female,612,18420650
87,Argentina,2006,male,2496,17498236
88,Argentina,2007,female,600,18624255
89,Argentina,2007,male,2346,17691237
90,Argentina,2008,female,611,18838032
91,Argentina,2008,male,2448,17895488
92,Argentina,2009,female,584,19054705
93,Argentina,2009,male,2300,18103296
94,Argentina,2010,female,566,19269234
95,Argentina,2010,male,2377,18309220
96,Argentina,2011,female,583,19491572
97,Argentina,2011,male,2329,18524167
98,Argentina,2012,female,628,19708068
99,Argentina,2012,male,2620,18733710
100,Argentina,2013,female,589,19920040
101,Argentina,2013,male,2398,18939085
102,Argentina,2014,female,687,20131806
103,Argentina,2014,male,2544,19144749
104,Argentina,2015,female,604,20346129
105,Argentina,2015,male,2469,19353495
106,Armenia,1990,female,29,1527100
107,Armenia,1990,male,64,1456600
108,Armenia,1991,female,26,1675100
109,Armenia,1991,male,54,1555700
110,Armenia,1992,female,19,1716800
111,Armenia,1992,male,64,1591900
112,Armenia,1993,female,35,1747200
113,Armenia,1993,male,71,1619400
114,Armenia,1994,female,36,1765600
115,Armenia,1994,male,76,1636900
116,Armenia,1995,female,35,1786400
117,Armenia,1995,male,95,1656800
118,Armenia,1996,female,24,1807800
119,Armenia,1996,male,63,1678500
120,Armenia,1997,female,15,1827200
121,Armenia,1997,male,62,1699500
122,Armenia,1998,female,18,1841100
123,Armenia,1998,male,48,1716900
124,Armenia,1999,female,18,1850600
125,Armenia,1999,male,49,1730100
126,Armenia,2000,female,14,1864000
127,Armenia,2000,male,47,1742500
128,Armenia,2001,female,12,1865438
129,Armenia,2001,male,48,1745078
130,Armenia,2002,female,12,1576826
131,Armenia,2002,male,62,1438018
132,Armenia,2003,female,9,1579136
133,Armenia,2003,male,50,1445230
134,Armenia,2006,female,17,1477951
135,Armenia,2006,male,61,1286445
136,Armenia,2007,female,20,1464169
137,Armenia,2007,male,51,1271144
138,Armenia,2008,female,19,1580998
139,Armenia,2008,male,44,1464393
140,Armenia,2009,female,10,1443562
141,Armenia,2009,male,43,1246133
142,Armenia,2010,female,19,1437243
143,Armenia,2010,male,54,1238982
144,Armenia,2011,female,16,1434102
145,Armenia,2011,male,51,1236264
146,Armenia,2012,female,20,1475506
147,Armenia,2012,male,59,1338794
148,Armenia,2013,female,24,1475593
149,Armenia,2013,male,43,1335071
150,Armenia,2014,female,15,1473933
151,Armenia,2014,male,43,1329096
152,Armenia,2015,female,19,1472585
153,Armenia,2015,male,55,1322750
154,Armenia,2016,female,14,1291746
155,Armenia,2016,male,53,1108287
156,Australia,1985,female,425,7313800
157,Australia,1985,male,1436,7248700
158,Australia,1986,female,463,7428700
159,Australia,1986,male,1581,7381100
160,Australia,1987,female,437,7549000
161,Australia,1987,male,1727,7497500
162,Australia,1988,female,460,7682300
163,Australia,1988,male,1712,7629800
164,Australia,1989,female,424,7820100
165,Australia,1989,male,1642,7750500
166,Australia,1990,female,444,7940900
167,Australia,1990,male,1758,7866100
168,Australia,1991,female,482,8049100
169,Australia,1991,male,1806,7963000
170,Australia,1992,female,465,8148600
171,Australia,1992,male,1786,8054900
172,Australia,1993,female,398,8234300
