,country,year,suicides_no,population,total,ratio
0,Albania,1987,73,2709600,2544.0,269.412459403602
1,Albania,1988,63,2764300,2544.0,227.90579893643962
2,Albania,1989,68,2803100,2544.0,242.58856266276626
3,Albania,1992,47,2822500,2544.0,166.51904340124003
4,Albania,1993,73,2807300,2544.0,260.03633384390696
5,Albania,1994,50,2849300,2544.0,175.48169725897586
6,Albania,1995,88,2903400,2544.0,303.09292553557896
7,Albania,1996,89,2940200,2544.0,302.7004965648596
8,Albania,1997,170,2977300,2544.0,570.9871359957008
9,Albania,1998,154,3012700,2544.0,511.16938294553063
10,Albania,1999,139,3029700,2544.0,458.7912994685943
11,Albania,2000,54,2796300,2544.0,193.1123270035404
12,Albania,2001,119,2799349,2544.0,425.09883547924886
13,Albania,2002,133,2818839,2544.0,471.8254572183796
14,Albania,2003,124,2843929,2544.0,436.0165109607167
15,Albania,2004,146,2874991,2544.0,507.82767667794445
16,Albania,2005,0,2783320,2544.0,0.0
17,Albania,2006,0,2780176,2544.0,0.0
18,Albania,2007,124,2770344,2544.0,447.59784344471296
19,Albania,2008,160,2757059,2544.0,580.3285312356392
20,Albania,2009,0,2745735,2544.0,0.0
21,Albania,2010,96,2736025,2544.0,350.8739868970495
22,Argentina,1985,1988,27090800,2525.1999999999994,733.8284583696311
23,Argentina,1986,2284,27244400,2525.1999999999994,838.3374198000323
24,Argentina,1987,2286,27599400,2525.1999999999994,828.2788756277309
25,Argentina,1988,2354,28308000,2525.1999999999994,831.567048184259
26,Argentina,1989,2247,28702000,2525.1999999999994,782.8722737091492
27,Argentina,1990,2140,29091100,2525.1999999999994,735.620172492618
28,Argentina,1991,1951,29623000,2525.1999999999994,658.6098639570604
29,Argentina,1992,2184,30045400,2525.1999999999994,726.8999580634639
30,Argentina,1993,2230,30477500,2525.1999999999994,731.687310310885
31,Argentina,1994,2241,30911200,2525.1999999999994,724.979942545097
32,Argentina,1995,2204,31345400,2525.1999999999994,703.1334741301755
33,Argentina,1996,2229,31780700,2525.1999999999994,701.369069907208
34,Argentina,1997,2184,32333781,2525.1999999999994,675.4545656135915
35,Argentina,1998,2347,32757259,2525.1999999999994,716.4824138674118
36,Argentina,1999,2423,33174862,2525.1999999999994,730.3722921289018
37,Argentina,2000,2774,33585533,2525.1999999999994,825.9508640223158
38,Argentina,2001,3132,34010946,2525.1999999999994,920.8800013971972
39,Argentina,2002,3162,34407507,2525.1999999999994,918.9854992981618
40,Argentina,2003,3289,34785907,2525.1999999999994,945.4978419852615
41,Argentina,2004,3121,35162945,2525.1999999999994,887.5820839238579
42,Argentina,2005,3058,35550617,2525.1999999999994,860.1819765884795
43,Argentina,2006,3108,35918886,2525.1999999999994,865.2829600561665
44,Argentina,2007,2946,36315492,2525.1999999999994,811.2240362873234
45,Argentina,2008,3059,36733520,2525.1999999999994,832.7543889069166
46,Argentina,2009,2884,37158001,2525.1999999999994,776.1450891828115
47,Argentina,2010,2943,37578454,2525.1999999999994,783.1615425158255
48,Argentina,2011,2912,38015739,2525.1999999999994,765.9985249793514
49,Argentina,2012,3248,38441778,2525.1999999999994,844.9140932034933
50,Argentina,2013,2987,38859125,2525.1999999999994,768.6740244408489
51,Argentina,2014,3231,39276555,2525.1999999999994,822.6281556516349
52,Argentina,2015,3073,39699624,2525.1999999999994,774.0627467907505
53,Armenia,1990,93,2983700,2474.0,311.6935348728089
54,Armenia,1991,80,3230800,2474.0,247.6166893648632
55,Armenia,1992,83,3308700,2474.0,250.85380965333817
56,Armenia,1993,106,3366600,2474.0,314.8577199548506
57,Armenia,1994,112,3402500,2474.0,329.1697281410727
58,Armenia,1995,130,3443200,2474.0,377.5557620817844
59,Armenia,1996,87,3486300,2474.0,249.54823164959984
60,Armenia,1997,77,3526700,2474.0,218.33442027958148
61,Armenia,1998,66,3558000,2474.0,185.4974704890388
62,Armenia,1999,67,3580700,2474.0,187.11425140335686
63,Armenia,2000,61,3606500,2474.0,169.1390544849577
64,Armenia,2001,60,3610516,2474.0,166.18123282101507
65,Armenia,2002,74,3014844,2474.0,245.45216933280793
66,Armenia,2003,59,3024366,2474.0,195.0822089654493
67,Armenia,2006,78,2764396,2474.0,282.15928542799224
68,Armenia,2007,71,2735313,2474.0,259.56810061590755
69,Armenia,2008,63,3045391,2474.0,206.86998812303577
70,Armenia,2009,53,2689695,2474.0,197.04836421973494
71,Armenia,2010,73,2676225,2474.0,272.7722818522359
72,Armenia,2011,67,2670366,2474.0,250.90193628888326
73,Armenia,2012,79,2814300,2474.0,280.70923497850265
74,Armenia,2013,67,2810664,2474.0,238.3778352730885
75,Armenia,2014,58,2803029,2474.0,206.91901510829894
76,Armenia,2015,74,2795335,2474.0,264.7267679902409
77,Armenia,2016,67,2400033,2474.0,279.16282817777926
78,Australia,1985,1861,14562500,2813.7000000000003,1277.93991416309
79,Australia,1986,2044,14809800,2813.7000000000003,1380.1671865926617
80,Australia,1987,2164,15046500,2813.7000000000003,1438.2082211810055
81,Australia,1988,2172,15312100,2813.7000000000003,1418.486033920886
82,Australia,1989,2066,15570600,2813.7000000000003,1326.8595943637367
83,Australia,1990,2202,15807000,2813.7000000000003,1393.0537103814765
84,Australia,1991,2288,16012100,2813.7000000000003,1428.9193797190874
85,Australia,1992,2251,16203500,2813.7000000000003,1389.2060357330208
86,Australia,1993,2038,16370000,2813.7000000000003,1244.9602932193036
87,Australia,1994,2283,16549400,2813.7000000000003,1379.5062056630452
88,Australia,1995,2170,16766300,2813.7000000000003,1294.2628964052892
89,Australia,1996,2426,17015100,2813.7000000000003,1425.7923844114932
90,Australia,1997,2646,17221300,2813.7000000000003,1536.4693722309
91,Australia,1998,2632,17421730,2813.7000000000003,1510.7569684526165
92,Australia,1999,2488,17641702,2813.7000000000003,1410.294766343973
93,Australia,2000,2391,17874410,2813.7000000000003,1337.666529972178
94,Australia,2001,2458,18130883,2813.7000000000003,1355.6978995452125
95,Australia,2002,2319,18370058,2813.7000000000003,1262.380336523706
96,Australia,2003,2156,18608029,2813.7000000000003,1158.6396388354726
97,Australia,2004,2114,18854551,2813.7000000000003,1121.2147136253734
98,Australia,2006,2117,19109246,2813.7000000000003,1107.8406756603583
99,Australia,2007,2229,19734430,2813.7000000000003,1129.4980397204276
100,Australia,2008,2341,20120312,2813.7000000000003,1163.500844320903
101,Australia,2009,2337,20529317,2813.7000000000003,1138.3720169550697
102,Australia,2010,2420,20847547,2813.7000000000003,1160.8080317554866
103,Australia,2011,2392,20881910,2813.7000000000003,1145.489086007937
104,Australia,2012,2580,21238909,2813.7000000000003,1214.7516616790438
105,Australia,2013,2608,21600180,2813.7000000000003,1207.3973457628592
106,Australia,2014,2891,21927587,2813.7000000000003,1318.430523157883
107,Australia,2015,3027,22240785,2813.7000000000003,1361.0131117224505
108,Austria,1985,2091,7110115,1885.0,2940.8807030547327
109,Austria,1986,2139,7119149,1885.0,3004.5725970899052
110,Austria,1987,2069,7130006,1885.0,2901.820839982463
111,Austria,1988,1851,7144410,1885.0,2590.836752090095
112,Austria,1989,1898,7177666,1885.0,2644.313625069765
113,Austria,1990,1825,7231353,1885.0,2523.73241909225
114,Austria,1991,1769,7299728,1885.0,2423.377966959865
115,Austria,1992,1759,7375368,1885.0,2384.9657400145998
116,Austria,1993,1704,7433569,1885.0,2292.304006325898
117,Austria,1994,1776,7462552,1885.0,2379.8829140487064
118,Austria,1995,1788,7477030,1885.0,2391.3238277765367
119,Austria,1996,1779,7493706,1885.0,2373.9922542998083
120,Austria,1997,1592,7512589,1885.0,2119.109670447831
121,Austria,1998,1559,7533519,1885.0,2069.418023635435
122,Austria,1999,1555,7561609,1885.0,2056.4406332038593
123,Austria,2000,1588,7592073,1885.0,2091.655335769295
124,Austria,2001,1489,7634560,1885.0,1950.341604493252
125,Austria,2002,1553,7683162,1885.0,2021.3032082364007
126,Austria,2003,1456,7722033,1885.0,1885.513827770485
127,Austria,2004,1422,7773105,1885.0,1829.3847825289895
128,Austria,2005,1399,7827461,1885.0,1787.2973113503856
129,Austria,2006,1297,7869269,1885.0,1648.1835860484625
130,Austria,2007,1285,7897272,1885.0,1627.1441581346066
131,Austria,2008,1267,7925258,1885.0,1598.6861247924041
132,Austria,2009,1278,7946894,1885.0,1608.1754708191652
133,Austria,2010,1264,7968421,1885.0,1586.2615692619656
134,Austria,2011,1288,7995146,1885.0,1610.9774605742034
135,Austria,2012,1276,8031276,1885.0,1588.788630847701
136,Austria,2013,1291,8079615,1885.0,1597.8484123315284
137,Austria,2014,1314,8141165,1885.0,1614.019615128793
138,Austria,2015,1251,8219386,1885.0,1522.0114981824674
139,Austria,2016,1201,7484629,1885.0,1604.6219525376607
140,Azerbaijan,1990,114,6156800,2207.4000000000005,185.16112266112268
141,Azerbaijan,1991,134,6290600,2207.4000000000005,213.01624646297648
142,Azerbaijan,1992,144,6370400,2207.4000000000005,226.04546025367327
143,Azerbaijan,1993,119,6442600,2207.4000000000005,184.70803712786764
144,Azerbaijan,1994,47,6521200,2207.4000000000005,72.07262467030607
145,Azerbaijan,1995,49,6605900,2207.4000000000005,74.17611529087634
146,Azerbaijan,1996,69,6668100,2207.4000000000005,103.4777522832591
147,Azerbaijan,1997,107,6711200,2207.4000000000005,159.4349743712004
148,Azerbaijan,1998,56,7044400,2207.4000000000005,79.49576968939867
149,Azerbaijan,1999,54,7106400,2207.4000000000005,75.98784194528875
150,Azerbaijan,2000,62,7415250,2207.4000000000005,83.61147634941506
151,Azerbaijan,2001,317,7518000,2207.4000000000005,421.6546953977121
152,Azerbaijan,2002,92,7605700,2207.4000000000005,120.96191014633762
153,Azerbaijan,2003,129,7674400,2207.4000000000005,168.0913165850099
154,Azerbaijan,2004,108,7738250,2207.4000000000005,139.56643944044194
155,Azerbaijan,2007,55,7921100,2207.4000000000005,69.43480072212193
156,Belarus,1990,2085,9408800,1807.0,2216.010543321146
157,Belarus,1991,2169,9476200,1807.0,2288.8921719676664
158,Belarus,1992,2424,9570900,1807.0,2532.6771776948876
159,Belarus,1993,2885,9641100,1807.0,2992.397133107218
160,Belarus,1994,3153,9653900,1807.0,3266.0375599498643
161,Belarus,1995,3203,9673600,1807.0,3311.0734369831293
