,country,year,total,sex,suicides_no,population
0,Albania,1987,2544.0,male,21,312900
1,Albania,1987,2544.0,male,16,308000
2,Albania,1987,2544.0,female,14,289700
3,Albania,1987,2544.0,male,1,21800
4,Albania,1987,2544.0,male,9,274300
5,Albania,1987,2544.0,female,1,35600
6,Albania,1987,2544.0,female,6,278800
7,Albania,1987,2544.0,female,4,257200
8,Albania,1987,2544.0,male,1,137500
9,Albania,1987,2544.0,female,0,311000
10,Albania,1987,2544.0,female,0,144600
11,Albania,1987,2544.0,male,0,338200
12,Albania,1988,2544.0,female,2,36400
13,Albania,1988,2544.0,male,17,319200
14,Albania,1988,2544.0,male,1,22300
15,Albania,1988,2544.0,male,14,314100
16,Albania,1988,2544.0,male,4,140200
17,Albania,1988,2544.0,female,8,295600
18,Albania,1988,2544.0,female,3,147500
19,Albania,1988,2544.0,female,5,262400
20,Albania,1988,2544.0,male,5,279900
21,Albania,1988,2544.0,female,4,284500
22,Albania,1988,2544.0,female,0,317200
23,Albania,1988,2544.0,male,0,345000
24,Albania,1989,2544.0,male,2,22500
25,Albania,1989,2544.0,male,18,283600
26,Albania,1989,2544.0,male,15,318400
27,Albania,1989,2544.0,male,6,142100
28,Albania,1989,2544.0,male,12,323500
29,Albania,1989,2544.0,female,7,288600
30,Albania,1989,2544.0,female,5,299900
31,Albania,1989,2544.0,female,2,266300
32,Albania,1989,2544.0,female,1,149600
33,Albania,1989,2544.0,female,0,321900
34,Albania,1989,2544.0,female,0,37000
35,Albania,1989,2544.0,male,0,349700
36,Albania,1992,2544.0,male,12,343800
37,Albania,1992,2544.0,male,9,263700
38,Albania,1992,2544.0,male,5,159500
39,Albania,1992,2544.0,male,7,245500
40,Albania,1992,2544.0,female,7,292400
41,Albania,1992,2544.0,female,4,267400
42,Albania,1992,2544.0,female,2,323100
43,Albania,1992,2544.0,female,1,164900
44,Albania,1992,2544.0,female,0,336700
45,Albania,1992,2544.0,female,0,38700
46,Albania,1992,2544.0,male,0,362900
47,Albania,1992,2544.0,male,0,23900
48,Albania,1993,2544.0,male,18,243300
49,Albania,1993,2544.0,male,7,165000
50,Albania,1993,2544.0,male,1,24200
51,Albania,1993,2544.0,male,9,230100
52,Albania,1993,2544.0,female,10,285300
53,Albania,1993,2544.0,male,10,350300
54,Albania,1993,2544.0,female,7,261800
55,Albania,1993,2544.0,female,7,331200
56,Albania,1993,2544.0,female,2,169500
57,Albania,1993,2544.0,female,1,340300
58,Albania,1993,2544.0,male,1,367000
